Customer ID,Gender,Age,Married,Number of Dependents,Zip Code,Satisfaction Score,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
9237-HQITU,Male,44.0,,0.0,93722.0,,Yes,1.0,71.0,None,No,0.0,No,Yes,Cable,25.0,No,Yes,No,,Yes,Yes,,No,Two Year,No,,49.35,3515.25,0.0,100.0,0.0,3615.25
7943-RQCHR,Female,29.0,Yes,5.0,94938.0,,Yes,3.0,53.0,None,Yes,,,Yes,DSL,,No,,Yes,No,No,,Yes,Yes,One Year,No,Credit Card,60.6,3297.0,0.0,0.0,1695.47,4992.47
4450-DLLMH,,,,,,,,5.0,65.0,Offer B,Yes,33.47,,No,None,0.0,No,,No,No,No,No,No,No,Two Year,Yes,,19.85,1267.05,0.0,0.0,2175.55,3442.5999999999995
7394-FKDNK,Female,70.0,No,0.0,93662.0,3.0,No,0.0,,None,Yes,31.13,No,Yes,,5.0,No,No,No,No,No,No,No,,Month-to-Month,Yes,Bank Withdrawal,69.65,69.65,0.0,,31.13,100.78
0771-CHWSK,Male,,,,,3.0,Yes,8.0,67.0,None,Yes,28.06,Yes,Yes,DSL,15.0,Yes,Yes,Yes,Yes,No,No,No,Yes,,No,Credit Card,70.9,4677.1,0.0,0.0,1880.02,6557.120000000001
5099-BAILX,Male,,No,0.0,94044.0,4.0,No,0.0,32.0,,Yes,1.12,Yes,Yes,Fiber Optic,5.0,No,No,Yes,No,No,No,No,,One Year,Yes,Credit Card,81.1,,19.25,0.0,35.84,
3055-OYMSE,Female,49.0,No,0.0,,3.0,No,0.0,1.0,Offer E,Yes,16.15,Yes,Yes,Fiber Optic,12.0,No,No,,,Yes,,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,,0.0,0.0,16.15,110.0
6685-XSHHU,Male,27.0,No,0.0,91739.0,4.0,No,0.0,27.0,None,Yes,47.65,No,No,None,0.0,No,No,No,No,,No,No,No,Two Year,No,Credit Card,19.85,470.0,0.0,0.0,1286.55,1756.55
7798-JVXYM,Male,42.0,No,0.0,90503.0,4.0,No,,58.0,Offer B,Yes,2.38,Yes,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,24.45,1513.6,,0.0,138.04,1651.64
3050-GBUSH,,40.0,Yes,0.0,92801.0,5.0,Yes,,,None,Yes,28.47,No,Yes,,5.0,No,No,No,No,No,,No,No,Month-to-Month,No,,70.5,294.2,0.0,,113.88,418.08
5896-NPFWW,Female,28.0,No,0.0,,3.0,,0.0,,,Yes,26.49,No,No,None,0.0,No,No,,No,No,,No,No,Two Year,No,Credit Card,19.85,784.25,0.0,0.0,980.13,1764.38
3454-JFUBC,,47.0,No,0.0,95019.0,4.0,No,0.0,,None,Yes,,Yes,Yes,,23.0,No,No,Yes,,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,104.65,6889.8,0.0,0.0,1660.8,8550.6
2400-FEQME,Female,26.0,Yes,3.0,,3.0,Yes,9.0,72.0,None,Yes,34.69,Yes,,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,115.6,8220.4,0.0,140.0,2497.68,10858.08
8988-ECPJR,,,,,90807.0,3.0,No,0.0,8.0,None,Yes,17.3,Yes,Yes,Fiber Optic,41.0,No,No,No,No,,No,No,,Month-to-Month,,Bank Withdrawal,,632.2,0.0,0.0,138.4,770.6
3999-QGRJH,,60.0,Yes,0.0,95949.0,5.0,Yes,7.0,,None,Yes,6.64,No,,,0.0,,No,No,,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.3,20.3,0.0,0.0,6.64,26.94
7845-URHJN,Male,21.0,Yes,1.0,93446.0,,Yes,6.0,45.0,,Yes,17.23,No,No,None,0.0,No,No,No,No,No,No,No,,Two Year,No,Bank Withdrawal,19.2,903.7,0.0,0.0,775.35,1679.0500000000002
3761-FLYZI,Female,75.0,Yes,0.0,94561.0,3.0,Yes,1.0,8.0,None,Yes,46.05,Yes,,Fiber Optic,22.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.0,613.4,0.0,0.0,368.4,981.8
9929-PLVPA,Female,,No,,95514.0,3.0,No,0.0,28.0,None,,38.97,No,Yes,Cable,3.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,59.55,1646.45,0.0,,1091.16,2737.61
3489-VSFRD,Male,52.0,No,0.0,92109.0,3.0,No,0.0,,Offer A,Yes,20.44,Yes,Yes,Fiber Optic,,,Yes,No,,Yes,Yes,,Yes,One Year,Yes,Bank Withdrawal,104.7,,0.0,0.0,1410.36,8630.710000000001
2832-KJCRD,Female,58.0,Yes,0.0,,5.0,Yes,1.0,54.0,Offer B,Yes,,No,No,,0.0,No,,No,No,No,No,,No,Two Year,No,,20.05,1102.4,0.0,0.0,1766.88,2869.28
5997-OPVFA,Female,64.0,No,0.0,,3.0,No,0.0,66.0,Offer A,No,0.0,No,Yes,,29.0,Yes,Yes,Yes,,No,,,No,Two Year,Yes,Mailed Check,47.4,3177.25,0.0,0.0,0.0,3177.25
3768-VHXQO,Female,,No,0.0,95571.0,3.0,,0.0,1.0,None,Yes,38.81,No,Yes,,52.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,70.7,70.7,0.0,0.0,38.81,109.51
6341-JVQGF,Female,,Yes,1.0,95207.0,4.0,,1.0,71.0,None,Yes,19.49,Yes,No,None,0.0,No,No,No,No,,No,No,No,Two Year,No,Bank Withdrawal,24.7,1810.55,0.0,0.0,,3194.34
2082-CEFLT,Female,,,3.0,,5.0,No,0.0,6.0,None,Yes,30.01,No,No,,0.0,No,No,,No,No,No,No,No,One Year,No,Credit Card,19.0,105.5,0.0,0.0,180.06,285.56
3162-ZJZFU,,35.0,No,0.0,93444.0,3.0,No,0.0,39.0,Offer C,No,,No,Yes,DSL,4.0,No,No,Yes,No,Yes,,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,50.75,2011.4,0.0,0.0,0.0,2011.4
4030-VPZBD,Male,25.0,Yes,1.0,95306.0,4.0,No,0.0,71.0,None,Yes,25.45,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.0,8175.9,0.0,0.0,1806.95,9982.85
4248-HCETZ,,27.0,Yes,0.0,94618.0,,,,28.0,None,Yes,33.63,,Yes,DSL,48.0,Yes,No,No,Yes,No,No,No,No,One Year,,Credit Card,54.35,1426.45,0.0,30.0,941.64,2398.09
7054-LGEQW,Female,65.0,No,,92301.0,,No,0.0,72.0,,,26.87,Yes,Yes,Fiber Optic,20.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,,Bank Withdrawal,,7774.05,0.0,0.0,,9708.69
9351-LZYGF,Female,70.0,No,0.0,92122.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9699-UBQFS,,22.0,No,0.0,,,No,0.0,1.0,,Yes,26.37,No,No,None,0.0,No,No,No,No,,,No,,Month-to-Month,No,Bank Withdrawal,19.2,19.2,0.0,0.0,,45.57
0613-WUXUM,Female,61.0,No,3.0,,3.0,No,0.0,23.0,,Yes,25.85,,,Cable,53.0,No,No,No,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,49.45,1119.35,0.0,0.0,594.5500000000001,
0733-VUNUW,Female,34.0,No,0.0,95449.0,3.0,No,0.0,53.0,None,No,0.0,,Yes,,25.0,Yes,Yes,,Yes,Yes,No,No,,One Year,Yes,Bank Withdrawal,53.6,2879.2,0.0,0.0,,
6380-ARCEH,,39.0,Yes,0.0,,1.0,Yes,5.0,65.0,Offer B,Yes,49.33,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,No,,No,Yes,One Year,No,Bank Withdrawal,,5769.6,18.72,,3206.45,8957.33
3982-JGSFD,,,,,95126.0,1.0,,1.0,53.0,None,,21.67,Yes,Yes,Cable,6.0,,No,No,Yes,No,No,,No,One Year,Yes,Bank Withdrawal,60.05,3229.65,0.0,100.0,1148.51,4478.16
7225-IILWY,Male,20.0,Yes,1.0,95450.0,,,,5.0,None,Yes,8.04,No,No,None,,No,No,No,No,No,No,No,,,,Credit Card,,86.05,0.0,0.0,40.2,126.25
9426-SXNHE,Male,20.0,No,0.0,,4.0,No,0.0,11.0,None,Yes,,No,Yes,,27.0,No,Yes,No,No,No,,No,Yes,Month-to-Month,Yes,Credit Card,75.9,,,0.0,149.05,1015.45
1686-STUHN,,,Yes,1.0,,,Yes,10.0,21.0,None,Yes,18.0,No,No,,0.0,No,,No,No,No,No,No,No,One Year,No,,19.8,350.1,0.0,0.0,378.0,728.1
7816-VGHTO,Male,36.0,Yes,0.0,95250.0,1.0,,,13.0,None,,30.55,Yes,Yes,,28.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,102.25,1359.0,0.0,0.0,,1756.15
5804-HYIEZ,Male,33.0,No,0.0,90061.0,3.0,No,0.0,25.0,Offer C,Yes,13.36,No,No,None,0.0,No,,No,,No,No,,No,Month-to-Month,No,Credit Card,20.6,,0.0,0.0,334.0,875.5
6184-DYUOB,,,,,93630.0,,Yes,3.0,47.0,,Yes,,Yes,No,None,0.0,No,No,No,,No,No,No,No,Two Year,No,Credit Card,24.55,1160.45,,0.0,736.96,1897.41
5130-YPIRV,Male,65.0,No,0.0,,4.0,No,0.0,3.0,Offer E,Yes,37.78,Yes,Yes,Fiber Optic,28.0,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,,335.75,0.0,0.0,113.34,449.09
2091-RFFBA,Male,44.0,No,0.0,93728.0,5.0,No,0.0,27.0,None,Yes,21.66,,No,None,,No,,No,No,No,No,No,No,One Year,No,Credit Card,20.3,595.05,0.0,0.0,584.82,1179.87
5494-HECPR,Male,40.0,Yes,1.0,96048.0,3.0,,7.0,53.0,,,3.78,Yes,Yes,Fiber Optic,27.0,No,Yes,Yes,No,Yes,Yes,,Yes,One Year,Yes,Bank Withdrawal,105.25,,0.0,,200.34,5776.64
4522-XRWWI,Male,,No,0.0,95014.0,4.0,No,,11.0,Offer D,Yes,28.62,No,No,None,0.0,No,No,No,No,No,No,No,,Month-to-Month,No,Credit Card,20.25,208.0,0.0,0.0,314.82,522.8199999999999
7369-TRPFD,Male,68.0,,0.0,91767.0,3.0,Yes,3.0,,None,Yes,,Yes,Yes,Fiber Optic,,No,Yes,No,Yes,Yes,,No,Yes,One Year,No,Bank Withdrawal,107.05,,0.0,0.0,551.1999999999999,
7410-OIEDU,Male,,No,2.0,93441.0,3.0,No,0.0,,Offer B,Yes,25.25,No,Yes,Cable,17.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,55.3,2654.05,0.0,0.0,1186.75,3840.8
3199-XGZCY,Male,67.0,No,0.0,92399.0,,No,0.0,32.0,Offer C,Yes,25.45,Yes,Yes,Fiber Optic,,No,No,No,No,Yes,Yes,No,,Month-to-Month,Yes,Credit Card,,3019.25,0.0,,814.4,3833.65
0104-PPXDV,Male,23.0,No,0.0,93657.0,1.0,No,0.0,,,No,0.0,,Yes,DSL,59.0,No,Yes,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,39.3,2111.45,0.0,80.0,0.0,2191.45
0564-MUUQK,,,,,95818.0,3.0,Yes,5.0,68.0,Offer A,Yes,22.83,,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,,1728.2,0.0,0.0,1552.4399999999998,3280.64
7826-VVKWT,Male,46.0,No,0.0,96109.0,,No,0.0,69.0,None,Yes,3.24,Yes,Yes,,26.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,81.5,5553.25,0.0,0.0,223.56,5776.81
5840-NVDCG,Male,31.0,No,,,3.0,No,0.0,26.0,Offer C,Yes,31.73,No,No,None,0.0,No,No,No,No,No,No,No,,Month-to-Month,No,Credit Card,20.9,518.3,,0.0,824.98,1343.28
3224-DFQNQ,Female,63.0,No,0.0,93534.0,3.0,No,0.0,1.0,Offer E,Yes,,No,Yes,DSL,24.0,Yes,No,No,No,No,No,No,No,Month-to-Month,No,,50.15,50.15,0.0,50.0,38.33,138.48000000000002
6112-KTHFQ,Female,53.0,Yes,0.0,92236.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4931-TRZWN,,,,,91324.0,3.0,,1.0,40.0,None,Yes,,No,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.1,780.1,45.6,0.0,,1989.3
5515-AKOAJ,Female,33.0,Yes,1.0,90803.0,3.0,,,8.0,None,Yes,29.94,No,Yes,Cable,17.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,,,0.0,0.0,239.52,803.87
0848-SOMKO,,35.0,Yes,,,,Yes,4.0,63.0,,Yes,2.72,Yes,,Fiber Optic,22.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,,102.6,6296.75,0.0,0.0,,
9500-IWPXQ,Male,49.0,Yes,2.0,92266.0,3.0,Yes,8.0,16.0,,Yes,48.71,Yes,Yes,Fiber Optic,12.0,,No,Yes,No,Yes,No,No,,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0.0,0.0,779.36,
9065-ZCPQX,,,,,,4.0,No,0.0,44.0,None,Yes,18.14,No,No,,0.0,No,No,No,No,,No,,No,One Year,No,,19.5,835.5,0.0,0.0,798.1600000000001,1633.66
5198-HQAEN,,29.0,No,0.0,92549.0,3.0,No,0.0,25.0,Offer C,Yes,29.38,No,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,20.75,499.4,0.0,0.0,,1233.9
9830-ECLEN,,45.0,No,0.0,94566.0,5.0,No,0.0,,Offer B,Yes,26.25,,No,None,0.0,No,No,No,,No,No,No,,Two Year,,,20.1,1079.45,0.0,0.0,1417.5,
9068-FHQHD,Female,,Yes,,,4.0,Yes,7.0,72.0,Offer A,Yes,12.85,Yes,Yes,Fiber Optic,24.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,110.15,7998.8,0.0,70.0,925.2,8994.0
5281-BUZGT,,32.0,Yes,0.0,92337.0,1.0,No,0.0,8.0,Offer E,,26.41,,Yes,Fiber Optic,16.0,No,No,No,,,,Yes,,Month-to-Month,Yes,Credit Card,85.2,627.4,0.0,0.0,211.28,838.68
2155-AMQRX,,,,,94937.0,3.0,Yes,10.0,6.0,Offer E,Yes,42.66,Yes,,Cable,85.0,No,No,,No,,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0.0,0.0,255.96,570.51
9965-YOKZB,,,,,92009.0,4.0,Yes,5.0,15.0,None,,14.27,No,No,None,0.0,No,No,No,No,No,No,,No,,No,Credit Card,18.8,294.95,0.0,0.0,214.05,
9154-QDGTH,Female,,Yes,2.0,93453.0,4.0,Yes,1.0,43.0,Offer B,Yes,14.64,No,Yes,,19.0,No,,No,No,No,,No,Yes,,No,Mailed Check,50.2,2169.4,0.0,0.0,629.52,
2911-UREFD,Male,44.0,No,,,,,0.0,1.0,,Yes,8.77,No,Yes,DSL,10.0,No,No,No,No,No,No,,,,Yes,Credit Card,,44.15,0.0,0.0,8.77,52.92
7363-QTBIW,,,,,91360.0,,Yes,,32.0,None,Yes,2.08,No,Yes,Fiber Optic,,No,No,,No,No,Yes,Yes,Yes,Month-to-Month,,Credit Card,80.3,2483.05,0.0,0.0,66.56,2549.61
9822-WMWVG,Female,,Yes,,90270.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-KYSAY,Male,50.0,Yes,2.0,92861.0,4.0,,6.0,30.0,,Yes,12.49,Yes,Yes,,,Yes,No,No,No,No,No,No,Yes,Month-to-Month,,Bank Withdrawal,54.45,,0.0,0.0,,1963.4
7168-HDQHG,Male,30.0,No,0.0,92126.0,,No,,64.0,None,Yes,24.23,,Yes,Fiber Optic,73.0,No,,No,Yes,Yes,Yes,Yes,,One Year,Yes,Credit Card,105.65,6903.1,0.0,0.0,1550.72,8453.82
9938-EKRGF,Female,73.0,Yes,0.0,92027.0,3.0,Yes,1.0,47.0,None,,26.95,No,Yes,Fiber Optic,26.0,,No,No,No,No,,No,Yes,Month-to-Month,No,,70.55,,,0.0,1266.65,4548.91
8314-DPQHL,Female,42.0,Yes,,95307.0,3.0,Yes,7.0,,None,Yes,27.65,No,No,None,0.0,No,No,No,No,No,,,No,Two Year,No,Bank Withdrawal,20.25,890.35,0.0,0.0,1271.9,2162.25
5266-PFRQK,Female,,No,0.0,91917.0,4.0,No,0.0,,,Yes,20.14,Yes,Yes,,13.0,Yes,,Yes,No,No,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,66.15,2522.4,0.0,0.0,765.32,3287.7200000000003
4067-HLYQI,Male,37.0,Yes,3.0,93222.0,3.0,Yes,7.0,35.0,None,Yes,11.75,No,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,,20.1,655.3,38.61,0.0,,1027.94
5614-DNZCE,,75.0,Yes,,93208.0,1.0,Yes,7.0,20.0,None,Yes,,Yes,Yes,Fiber Optic,10.0,No,No,No,,Yes,Yes,,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0.0,,2005.85
0078-XZMHT,Male,34.0,No,0.0,90401.0,5.0,No,0.0,38.0,Offer C,Yes,3.95,Yes,,Fiber Optic,21.0,No,No,,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,95.0,3605.6,0.0,0.0,,3755.7
0939-EREMR,Male,27.0,Yes,,,3.0,Yes,1.0,62.0,None,Yes,39.67,No,Yes,Fiber Optic,41.0,Yes,Yes,No,No,,No,No,Yes,One Year,Yes,Credit Card,81.45,4983.05,14.15,0.0,2459.54,
9200-NLNPD,Female,71.0,,0.0,95007.0,,No,0.0,59.0,None,,6.13,Yes,Yes,Fiber Optic,2.0,No,Yes,No,No,No,No,No,,Two Year,Yes,Credit Card,79.2,4590.35,0.0,0.0,,4952.02
2801-NISEI,,24.0,No,0.0,,4.0,No,0.0,,Offer B,Yes,25.91,No,No,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,19.45,1336.35,0.0,,1580.51,
4547-FZJWE,Male,52.0,Yes,0.0,92679.0,1.0,Yes,1.0,30.0,Offer C,Yes,28.85,Yes,Yes,Fiber Optic,6.0,Yes,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,94.4,2838.7,0.0,80.0,865.5,3784.2
3640-PHQXK,Male,63.0,No,0.0,95955.0,5.0,No,0.0,18.0,None,Yes,4.38,Yes,Yes,Fiber Optic,20.0,,No,No,No,No,,No,Yes,Month-to-Month,No,Credit Card,74.15,1387.0,0.0,0.0,78.84,1465.84
4929-XIHVW,Female,21.0,Yes,1.0,,5.0,,4.0,19.0,Offer D,No,0.0,No,Yes,Cable,85.0,No,No,No,No,No,No,,Yes,Month-to-Month,,Credit Card,24.85,434.8,0.0,,0.0,
6848-YLDFR,Female,23.0,Yes,2.0,96028.0,3.0,Yes,,6.0,None,Yes,30.17,No,Yes,DSL,48.0,No,No,No,No,Yes,No,No,,Month-to-Month,No,Bank Withdrawal,54.85,,39.15,0.0,181.02,496.97
5440-FLBQG,,,,,91605.0,2.0,No,0.0,1.0,,Yes,5.1,Yes,,,10.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,,,0.0,0.0,5.1,84.64999999999999
9572-MTILT,Female,71.0,No,0.0,96123.0,3.0,No,0.0,45.0,None,Yes,12.67,Yes,Yes,Fiber Optic,4.0,Yes,Yes,No,Yes,Yes,No,,,,Yes,Bank Withdrawal,97.05,4385.05,0.0,0.0,570.15,4955.2
8780-RSYYU,Female,29.0,No,0.0,91784.0,4.0,No,0.0,6.0,Offer E,Yes,6.98,No,Yes,Cable,30.0,Yes,Yes,No,,No,No,No,No,Month-to-Month,No,Mailed Check,55.15,,0.0,,41.88,364.78
5453-AXEPF,Male,59.0,No,0.0,92325.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9137-UIYPG,,,,,,,No,0.0,5.0,None,Yes,30.05,,Yes,Fiber Optic,,,No,No,No,No,,No,Yes,Month-to-Month,Yes,Credit Card,69.05,318.5,0.0,,150.25,468.75
1585-MQSSU,,39.0,Yes,0.0,93950.0,5.0,No,0.0,2.0,None,,49.41,Yes,Yes,Fiber Optic,20.0,No,No,,,,No,No,No,Month-to-Month,,Bank Withdrawal,91.45,171.45,0.0,10.0,98.82,280.27
9603-OAIHC,Female,29.0,No,0.0,91331.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3717-LNXKW,,61.0,No,0.0,95340.0,3.0,No,0.0,38.0,None,Yes,21.19,Yes,Yes,DSL,24.0,,Yes,No,Yes,,Yes,Yes,,Month-to-Month,No,Credit Card,68.15,2656.3,0.0,0.0,805.22,3461.5200000000004
5472-CVMDX,,79.0,No,,94956.0,2.0,No,0.0,,None,Yes,43.34,No,Yes,,2.0,No,No,No,No,Yes,No,No,,Month-to-Month,Yes,Bank Withdrawal,80.85,751.65,0.0,0.0,390.06000000000006,1141.71
6266-QHOJZ,Male,22.0,No,0.0,95549.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7758-UJWYS,Male,67.0,Yes,2.0,,,Yes,4.0,72.0,None,,16.82,No,Yes,Fiber Optic,25.0,Yes,No,Yes,,Yes,Yes,No,No,Two Year,Yes,Credit Card,104.1,,0.0,,1211.04,8698.74
8710-YGLWG,Male,54.0,No,0.0,90220.0,,No,0.0,7.0,,Yes,1.41,Yes,No,None,0.0,No,No,No,,No,,No,,Month-to-Month,No,Credit Card,23.5,173.0,0.0,0.0,9.87,
8461-EFQYM,Female,70.0,Yes,1.0,,4.0,Yes,,12.0,Offer D,,0.0,No,Yes,DSL,14.0,No,No,No,Yes,No,No,No,,Month-to-Month,Yes,Mailed Check,29.3,,0.0,0.0,0.0,355.9
1866-OBPNR,,36.0,No,0.0,,5.0,No,0.0,15.0,None,Yes,23.56,No,No,None,0.0,,No,,No,No,No,No,No,One Year,No,Credit Card,19.65,270.6,0.0,0.0,353.4,624.0
5446-DKWYW,Male,,No,0.0,,4.0,No,,33.0,None,Yes,,Yes,Yes,Fiber Optic,48.0,Yes,,,No,No,No,No,Yes,,No,Bank Withdrawal,80.1,2603.3,,0.0,848.4300000000001,3451.7300000000005
5951-AOFIH,Female,36.0,Yes,,90062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0093-XWZFY,Male,63.0,,2.0,95632.0,3.0,No,0.0,,None,Yes,29.1,No,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,19.85,0.0,0.0,29.1,
3255-GRXMG,Male,31.0,No,0.0,,5.0,No,0.0,27.0,None,Yes,33.4,No,No,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.1,562.6,0.0,0.0,901.8,1464.4
5799-JRCZO,,,,,93311.0,5.0,No,0.0,4.0,Offer E,Yes,6.88,No,No,None,0.0,No,No,,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.85,63.0,0.0,0.0,27.52,90.52
0567-XRHCU,Male,27.0,Yes,0.0,91791.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5329-KRDTM,,,Yes,1.0,95430.0,3.0,,9.0,,None,Yes,32.75,Yes,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,25.4,949.8,0.0,,1146.25,2096.05
3796-ENZGF,Female,,Yes,1.0,92376.0,3.0,Yes,5.0,72.0,Offer A,Yes,32.59,,Yes,DSL,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,79.5,5661.7,0.0,0.0,2346.4800000000005,8008.18
2770-NSVDG,Male,51.0,Yes,0.0,94951.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599-CZABP,Female,,Yes,1.0,,4.0,Yes,9.0,38.0,None,,,,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,20.2,746.05,0.0,0.0,1019.92,1765.9699999999998
2545-LXYVJ,,55.0,,0.0,93015.0,,No,0.0,,,No,0.0,No,,Cable,16.0,No,No,No,No,No,No,,Yes,,Yes,,25.25,186.3,0.0,0.0,,186.3
